Meet Name,Event Name,Board,Diver Name,Team,University Name,Athletic Division,Athletic Conference,Score,Place,Total DD,Num Dives
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Grace Wesche,NAZU,Northern Arizona University,D1,MPSF ,261.3,6,16.4,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Manou Meulebeek,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,255.85,7,16.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Peytton Moore,NMSU,New Mexico State University,D1,MPSF ,236.35,8,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Vivian Vallely,PU,Pepperdine University,D1,MPSF,257.3,1,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Bella Reynolds,CBU,California Baptist University,D1,MPSF ,250.55,2,15.5,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Jacqueline Johnson,PU,Pepperdine University,D1,MPSF,246.25,3,15.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Amelia Ward,IDAH,University of Idaho,D1,MPSF ,230.3,4,16.1,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Addison Pastiak,NMSU,New Mexico State University,D1,MPSF ,221.25,5,14.1,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Saige Anderson,IDAH,University of Idaho,D1,MPSF ,220.25,6,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Violet Noel,UNCO,University of Northern Colorado,D1,MPSF ,219.85,7,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Ava Langheim,PU,Pepperdine University,D1,MPSF,199.55,8,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Amelia Ward,IDAH,University of Idaho,D1,MPSF ,209.8,1,12.2,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,189.7,2,12,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Amanda Wong,PU,Pepperdine University,D1,MPSF,187.2,3,11.5,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Peytton Moore,NMSU,New Mexico State University,D1,MPSF ,181.25,4,11.7,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Lauren Wierschke,IDAH,University of Idaho,D1,MPSF ,178.95,5,11.1,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Jacqueline Johnson,PU,Pepperdine University,D1,MPSF,174.95,6,11.1,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Megan Ono,NMSU,New Mexico State University,D1,MPSF ,171.45,7,11.6,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) CONSOL. (Final),Platform,Mireya Ruiz,UNCO,University of Northern Colorado,D1,MPSF ,169.5,8,12,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Maya Salvitti,IDAH,University of Idaho,D1,MPSF ,267.2,1,13.7,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Mira Tinani,NMSU,New Mexico State University,D1,MPSF ,267,2,12.8,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Mackenna Stocker,NAZU,Northern Arizona University,D1,MPSF ,263.05,3,12.4,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Margaret Wesche,NAZU,Northern Arizona University,D1,MPSF ,236.5,4,12.9,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Bella Reynolds,CBU,California Baptist University,D1,MPSF ,222.65,5,12.6,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Grace Wesche,NAZU,Northern Arizona University,D1,MPSF ,221.6,6,12.8,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Audrey Easter,CBU,California Baptist University,D1,MPSF ,214.75,7,13.3,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Addison Pastiak,NMSU,New Mexico State University,D1,MPSF ,202.4,8,12.2,5
Mountain Pacific Sports Federation Diving Championships,Women Platform (5 Dives) (Prelim/Quarterfinal),Platform,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,197.6,9,12,5
